installer_name,service_group,exception
ΦΡΙΤΣΑΛΟΣ ΝΙΚΟΛΑΟΣ ΚΑΙ ΣΙΑ ΕΕ(ΜΕ ΠΑΡΑΔΟΣΗ),0.1 MDA installation,1
ΦΡΙΤΣΑΛΟΣ ΝΙΚΟΛΑΟΣ ΚΑΙ ΣΙΑ ΕΕ(ΜΕ ΠΑΡΑΔΟΣΗ),0.2 BG installation,1
ΦΡΙΤΣΑΛΟΣ ΝΙΚΟΛΑΟΣ ΚΑΙ ΣΙΑ ΕΕ(ΜΕ ΠΑΡΑΔΟΣΗ),0.3 AC installation,1
ΦΡΙΤΣΑΛΟΣ ΝΙΚΟΛΑΟΣ ΚΑΙ ΣΙΑ ΕΕ(ΜΕ ΠΑΡΑΔΟΣΗ),0.4 AC Maintenence,1
ΦΡΙΤΣΑΛΟΣ ΝΙΚΟΛΑΟΣ ΚΑΙ ΣΙΑ ΕΕ(ΜΕ ΠΑΡΑΔΟΣΗ),0.5 AC Electrical installation,1
ΦΡΙΤΣΑΛΟΣ ΝΙΚΟΛΑΟΣ ΚΑΙ ΣΙΑ ΕΕ(ΜΕ ΠΑΡΑΔΟΣΗ),0.6 Sun Boiler installation,1
ΦΡΙΤΣΑΛΟΣ ΝΙΚΟΛΑΟΣ ΚΑΙ ΣΙΑ ΕΕ(ΜΕ ΠΑΡΑΔΟΣΗ),0.7 Electric Boiler installation,1
ΦΡΙΤΣΑΛΟΣ ΝΙΚΟΛΑΟΣ ΚΑΙ ΣΙΑ ΕΕ(ΜΕ ΠΑΡΑΔΟΣΗ),0.8 Ceiling Fan installation,1
ΦΡΙΤΣΑΛΟΣ ΝΙΚΟΛΑΟΣ ΚΑΙ ΣΙΑ ΕΕ(ΜΕ ΠΑΡΑΔΟΣΗ),0.9 Barbecue installation,1
ΑΚΡΙΤΙΔΗΣ ΙΩΑΝΝΗΣ(ΜΕ ΠΑΡΑΔΟΣΗ),0.1 MDA installation,1
ΑΚΡΙΤΙΔΗΣ ΙΩΑΝΝΗΣ(ΜΕ ΠΑΡΑΔΟΣΗ),0.2 BG installation,1
ΑΚΡΙΤΙΔΗΣ ΙΩΑΝΝΗΣ(ΜΕ ΠΑΡΑΔΟΣΗ),0.3 AC installation,1
ΑΚΡΙΤΙΔΗΣ ΙΩΑΝΝΗΣ(ΜΕ ΠΑΡΑΔΟΣΗ),0.4 AC Maintenence,1
ΑΚΡΙΤΙΔΗΣ ΙΩΑΝΝΗΣ(ΜΕ ΠΑΡΑΔΟΣΗ),0.5 AC Electrical installation,1
ΑΚΡΙΤΙΔΗΣ ΙΩΑΝΝΗΣ(ΜΕ ΠΑΡΑΔΟΣΗ),0.6 Sun Boiler installation,1
ΑΚΡΙΤΙΔΗΣ ΙΩΑΝΝΗΣ(ΜΕ ΠΑΡΑΔΟΣΗ),0.7 Electric Boiler installation,1
ΑΚΡΙΤΙΔΗΣ ΙΩΑΝΝΗΣ(ΜΕ ΠΑΡΑΔΟΣΗ),0.8 Ceiling Fan installation,1
ΑΚΡΙΤΙΔΗΣ ΙΩΑΝΝΗΣ(ΜΕ ΠΑΡΑΔΟΣΗ),0.9 Barbecue installation,1
