postal_code,delivery_means,weekday,available_delivery
63071,HD,Τετάρτη,1
63071,HD,Πέμπτη,1
63071,HD,Παρασκευή,1
63071,HD,Σάββατο,1
63071,HD,Κυριακή,1
63072,HD,Τετάρτη,1
63072,HD,Πέμπτη,1
63072,HD,Παρασκευή,1
63072,HD,Σάββατο,1
63072,HD,Κυριακή,1
63073,HD,Τετάρτη,1
63073,HD,Πέμπτη,1
63073,HD,Παρασκευή,1
63073,HD,Σάββατο,1
63073,HD,Κυριακή,1
63074,HD,Τετάρτη,1
63074,HD,Πέμπτη,1
63074,HD,Παρασκευή,1
63074,HD,Σάββατο,1
63074,HD,Κυριακή,1
63075,HD,Τετάρτη,1
63075,HD,Πέμπτη,1
63075,HD,Παρασκευή,1
63075,HD,Σάββατο,1
63075,HD,Κυριακή,1
63076,HD,Τετάρτη,1
63076,HD,Πέμπτη,1
63076,HD,Παρασκευή,1
63076,HD,Σάββατο,1
63076,HD,Κυριακή,1
63077,HD,Τετάρτη,1
63077,HD,Πέμπτη,1
63077,HD,Παρασκευή,1
63077,HD,Σάββατο,1
63077,HD,Κυριακή,1
63078,HD,Τετάρτη,1
63078,HD,Πέμπτη,1
63078,HD,Παρασκευή,1
63078,HD,Σάββατο,1
63078,HD,Κυριακή,1
63079,HD,Τετάρτη,1
63079,HD,Πέμπτη,1
63079,HD,Παρασκευή,1
63079,HD,Σάββατο,1
63079,HD,Κυριακή,1
63080,HD,Τετάρτη,1
63080,HD,Πέμπτη,1
63080,HD,Παρασκευή,1
63080,HD,Σάββατο,1
63080,HD,Κυριακή,1
63081,HD,Τετάρτη,1
63081,HD,Πέμπτη,1
63081,HD,Παρασκευή,1
63081,HD,Σάββατο,1
63081,HD,Κυριακή,1
63082,HD,Τετάρτη,1
63082,HD,Πέμπτη,1
63082,HD,Παρασκευή,1
63082,HD,Σάββατο,1
63082,HD,Κυριακή,1
63084,HD,Τετάρτη,1
63084,HD,Πέμπτη,1
63084,HD,Παρασκευή,1
63084,HD,Σάββατο,1
63084,HD,Κυριακή,1
63085,HD,Τετάρτη,1
63085,HD,Πέμπτη,1
63085,HD,Παρασκευή,1
63085,HD,Σάββατο,1
63085,HD,Κυριακή,1
63086,FRW,null,1
63087,FRW,null,1
63088,HD,Τετάρτη,1
63088,HD,Πέμπτη,1
63088,HD,Παρασκευή,1
63088,HD,Σάββατο,1
63088,HD,Κυριακή,1
63100,HD,Τετάρτη,1
63100,HD,Πέμπτη,1
63100,HD,Παρασκευή,1
63100,HD,Σάββατο,1
63100,HD,Κυριακή,1
63200,HD,Τετάρτη,1
63200,HD,Πέμπτη,1
63200,HD,Παρασκευή,1
63200,HD,Σάββατο,1
63200,HD,Κυριακή,1
73100,HD,Τετάρτη,1
73100,HD,Πέμπτη,1
73100,HD,Παρασκευή,1
73100,HD,Σάββατο,1
73100,HD,Κυριακή,1
73131,HD,Τετάρτη,1
73131,HD,Πέμπτη,1
73131,HD,Παρασκευή,1
73131,HD,Σάββατο,1
73131,HD,Κυριακή,1
73001,HD,Τετάρτη,1
73001,HD,Πέμπτη,1
73001,HD,Παρασκευή,1
73001,HD,Σάββατο,1
73001,HD,Κυριακή,1
73002,HD,Τετάρτη,1
73002,HD,Πέμπτη,1
73002,HD,Παρασκευή,1
73002,HD,Σάββατο,1
73002,HD,Κυριακή,1
73003,HD,Τετάρτη,1
73003,HD,Πέμπτη,1
73003,HD,Παρασκευή,1
73003,HD,Σάββατο,1
73003,HD,Κυριακή,1
73004,HD,Τετάρτη,1
73004,HD,Πέμπτη,1
73004,HD,Παρασκευή,1
73004,HD,Σάββατο,1
73004,HD,Κυριακή,1
73005,HD,Τετάρτη,1
73005,HD,Πέμπτη,1
73005,HD,Παρασκευή,1
73005,HD,Σάββατο,1
73005,HD,Κυριακή,1
73006,HD,Τετάρτη,1
73006,HD,Πέμπτη,1
73006,HD,Παρασκευή,1
73006,HD,Σάββατο,1
73006,HD,Κυριακή,1
73007,HD,Τετάρτη,1
73007,HD,Πέμπτη,1
73007,HD,Παρασκευή,1
73007,HD,Σάββατο,1
73007,HD,Κυριακή,1
73008,HD,Τετάρτη,1
73008,HD,Πέμπτη,1
73008,HD,Παρασκευή,1
73008,HD,Σάββατο,1
73008,HD,Κυριακή,1
73009,HD,Τετάρτη,1
73009,HD,Πέμπτη,1
73009,HD,Παρασκευή,1
73009,HD,Σάββατο,1
73009,HD,Κυριακή,1
73011,HD,Τετάρτη,1
73011,HD,Πέμπτη,1
73011,HD,Παρασκευή,1
73011,HD,Σάββατο,1
73011,HD,Κυριακή,1
73012,HD,Τετάρτη,1
73012,HD,Πέμπτη,1
73012,HD,Παρασκευή,1
73012,HD,Σάββατο,1
73012,HD,Κυριακή,1
73014,HD,Τετάρτη,1
73014,HD,Πέμπτη,1
73014,HD,Παρασκευή,1
73014,HD,Σάββατο,1
73014,HD,Κυριακή,1
73132,HD,Τετάρτη,1
73132,HD,Πέμπτη,1
73132,HD,Παρασκευή,1
73132,HD,Σάββατο,1
73132,HD,Κυριακή,1
73133,HD,Τετάρτη,1
73133,HD,Πέμπτη,1
73133,HD,Παρασκευή,1
73133,HD,Σάββατο,1
73133,HD,Κυριακή,1
73134,HD,Τετάρτη,1
73134,HD,Πέμπτη,1
73134,HD,Παρασκευή,1
73134,HD,Σάββατο,1
73134,HD,Κυριακή,1
73135,HD,Τετάρτη,1
73135,HD,Πέμπτη,1
73135,HD,Παρασκευή,1
73135,HD,Σάββατο,1
73135,HD,Κυριακή,1
73136,HD,Τετάρτη,1
73136,HD,Πέμπτη,1
73136,HD,Παρασκευή,1
73136,HD,Σάββατο,1
73136,HD,Κυριακή,1
73200,HD,Τετάρτη,1
73200,HD,Πέμπτη,1
73200,HD,Παρασκευή,1
73200,HD,Σάββατο,1
73200,HD,Κυριακή,1
73300,HD,Τετάρτη,1
73300,HD,Πέμπτη,1
73300,HD,Παρασκευή,1
73300,HD,Σάββατο,1
73300,HD,Κυριακή,1
73400,HD,Τετάρτη,1
73400,HD,Πέμπτη,1
73400,HD,Παρασκευή,1
73400,HD,Σάββατο,1
73400,HD,Κυριακή,1
74055,HD,Τετάρτη,1
74055,HD,Πέμπτη,1
74055,HD,Παρασκευή,1
74055,HD,Σάββατο,1
74055,HD,Κυριακή,1
40001,FRW,null,1
40002,FRW,null,1
40003,HD,Τετάρτη,1
40003,HD,Πέμπτη,1
40003,HD,Παρασκευή,1
40003,HD,Σάββατο,1
40003,HD,Κυριακή,1
40004,HD,Τετάρτη,1
40004,HD,Πέμπτη,1
40004,HD,Παρασκευή,1
40004,HD,Σάββατο,1
40004,HD,Κυριακή,1
40005,FRW,null,1
40006,HD,Τετάρτη,1
40006,HD,Πέμπτη,1
40006,HD,Παρασκευή,1
40006,HD,Σάββατο,1
40006,HD,Κυριακή,1
40007,HD,Τετάρτη,1
40007,HD,Πέμπτη,1
40007,HD,Παρασκευή,1
40007,HD,Σάββατο,1
40007,HD,Κυριακή,1
40009,HD,Τετάρτη,1
40009,HD,Πέμπτη,1
40009,HD,Παρασκευή,1
40009,HD,Σάββατο,1
40009,HD,Κυριακή,1
40011,HD,Τετάρτη,1
40011,HD,Πέμπτη,1
40011,HD,Παρασκευή,1
40011,HD,Σάββατο,1
40011,HD,Κυριακή,1
40100,HD,Τετάρτη,1
40100,HD,Πέμπτη,1
40100,HD,Παρασκευή,1
40100,HD,Σάββατο,1
40100,HD,Κυριακή,1
40200,HD,Τετάρτη,1
40200,HD,Πέμπτη,1
40200,HD,Παρασκευή,1
40200,HD,Σάββατο,1
40200,HD,Κυριακή,1
40300,HD,Τετάρτη,1
40300,HD,Πέμπτη,1
40300,HD,Παρασκευή,1
40300,HD,Σάββατο,1
40300,HD,Κυριακή,1
40400,HD,Τετάρτη,1
40400,HD,Πέμπτη,1
40400,HD,Παρασκευή,1
40400,HD,Σάββατο,1
40400,HD,Κυριακή,1
41221,HD,Τετάρτη,1
41221,HD,Πέμπτη,1
41221,HD,Παρασκευή,1
41221,HD,Σάββατο,1
41221,HD,Κυριακή,1
41222,HD,Τετάρτη,1
41222,HD,Πέμπτη,1
41222,HD,Παρασκευή,1
41222,HD,Σάββατο,1
41222,HD,Κυριακή,1
41223,HD,Τετάρτη,1
41223,HD,Πέμπτη,1
41223,HD,Παρασκευή,1
41223,HD,Σάββατο,1
41223,HD,Κυριακή,1
41334,HD,Τετάρτη,1
41334,HD,Πέμπτη,1
41334,HD,Παρασκευή,1
41334,HD,Σάββατο,1
41334,HD,Κυριακή,1
41335,HD,Τετάρτη,1
41335,HD,Πέμπτη,1
41335,HD,Παρασκευή,1
41335,HD,Σάββατο,1
41335,HD,Κυριακή,1
41336,HD,Τετάρτη,1
41336,HD,Πέμπτη,1
41336,HD,Παρασκευή,1
41336,HD,Σάββατο,1
41336,HD,Κυριακή,1
41447,HD,Τετάρτη,1
41447,HD,Πέμπτη,1
41447,HD,Παρασκευή,1
41447,HD,Σάββατο,1
41447,HD,Κυριακή,1
41500,HD,Τετάρτη,1
41500,HD,Πέμπτη,1
41500,HD,Παρασκευή,1
41500,HD,Σάββατο,1
41500,HD,Κυριακή,1
41448,HD,Τετάρτη,1
41448,HD,Πέμπτη,1
41448,HD,Παρασκευή,1
41448,HD,Σάββατο,1
41448,HD,Κυριακή,1
41005,HD,Τετάρτη,1
41005,HD,Πέμπτη,1
41005,HD,Παρασκευή,1
41005,HD,Σάββατο,1
41005,HD,Κυριακή,1
37001,HD,Τετάρτη,1
37001,HD,Πέμπτη,1
37001,HD,Παρασκευή,1
37001,HD,Σάββατο,1
37001,HD,Κυριακή,1
37006,HD,Τετάρτη,1
37006,HD,Πέμπτη,1
37006,HD,Παρασκευή,1
37006,HD,Σάββατο,1
37006,HD,Κυριακή,1
37008,HD,Τετάρτη,1
37008,HD,Πέμπτη,1
37008,HD,Παρασκευή,1
37008,HD,Σάββατο,1
37008,HD,Κυριακή,1
37009,FRW,null,1
37010,HD,Τετάρτη,1
37010,HD,Πέμπτη,1
37010,HD,Παρασκευή,1
37010,HD,Σάββατο,1
37010,HD,Κυριακή,1
37011,HD,Τετάρτη,1
37011,HD,Πέμπτη,1
37011,HD,Παρασκευή,1
37011,HD,Σάββατο,1
37011,HD,Κυριακή,1
37012,HD,Τετάρτη,1
37012,HD,Πέμπτη,1
37012,HD,Παρασκευή,1
37012,HD,Σάββατο,1
37012,HD,Κυριακή,1
37013,HD,Τετάρτη,1
37013,HD,Πέμπτη,1
37013,HD,Παρασκευή,1
37013,HD,Σάββατο,1
37013,HD,Κυριακή,1
