zone,area,service_group,weekday,available_inst_sch_zone
1.0,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,0.1 MDA installation,Δευτέρα,1
1.1,ΔΙΔΥΜΟΤΕΙΧΟ     ΟΡΕΣΤΙΑΔΑ,0.1 MDA installation,Δευτέρα,1
120.1,ΗΡΑΚΛΕΙΟ 2,0.1 MDA installation,Δευτέρα,1
120.5,ΗΡΑΚΛΕΙΟ 6,0.1 MDA installation,Δευτέρα,1
122.1,ΧΑΝΙΑ 2,0.1 MDA installation,Δευτέρα,1
122.2,ΧΑΝΙΑ 3,0.1 MDA installation,Δευτέρα,1
14.0,ΓΙΑΝΝΙΤΣΑ   ΠΕΛΛΑ,0.1 MDA installation,Δευτέρα,1
15.0,ΒΕΡΟΙΑ,0.1 MDA installation,Δευτέρα,1
150.1,ΣΑΛΑΜΙΝΑ,0.1 MDA installation,Δευτέρα,1
16.0,ΚΑΤΕΡΙΝΗ,0.1 MDA installation,Δευτέρα,1
2.0,ΚΟΜΟΤΗΝΗΣ,0.1 MDA installation,Δευτέρα,1
22.0,ΚΟΖΑΝΗ,0.1 MDA installation,Δευτέρα,1
3.0,ΞΑΝΘΗ,0.1 MDA installation,Δευτέρα,1
4.0,ΚΑΒΑΛΑ,0.1 MDA installation,Δευτέρα,1
40.0,ΤΡΙΚΑΛΑ,0.1 MDA installation,Δευτέρα,1
41.0,ΚΑΡΔΙΤΣΑ,0.1 MDA installation,Δευτέρα,1
41.1,ΠΑΛΑΜΑΣ,0.1 MDA installation,Δευτέρα,1
41.2,ΣΟΦΑΔΕΣ,0.1 MDA installation,Δευτέρα,1
41.3,ΜΟΥΖΑΚΙ ΑΡΓΙΘΕΑ,0.1 MDA installation,Δευτέρα,1
42.0,ΛΑΡΙΣΑ,0.1 MDA installation,Δευτέρα,1
42.2,ΤΕΜΠΟΙ -ΑΓΙΑ,0.1 MDA installation,Δευτέρα,1
42.3,ΕΛΑΣΣΟΝΑ,0.1 MDA installation,Δευτέρα,1
43.0,ΒΟΛΟΣ,0.1 MDA installation,Δευτέρα,1
5.0,ΔΡΑΜΑ,0.1 MDA installation,Δευτέρα,1
80.1,ΑΧΑΙΑΣ 2,0.1 MDA installation,Δευτέρα,1
80.2,ΑΧΑΙΑΣ 3,0.1 MDA installation,Δευτέρα,1
80.3,ΠΑΤΡΑΣ 1,0.1 MDA installation,Δευτέρα,1
80.4,ΠΑΤΡΑΣ 2,0.1 MDA installation,Δευτέρα,1
80.5,ΠΑΤΡΑΣ 3,0.1 MDA installation,Δευτέρα,1
80.6,ΑΧΑΙΑΣ 4,0.1 MDA installation,Δευτέρα,1
82.0,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ ΑΓΡΙΝΙΟΥ,0.1 MDA installation,Δευτέρα,1
82.4,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ ΝΑΥΠΑΚΤΙΑΣ,0.1 MDA installation,Δευτέρα,1
90.2,ΚΕΡΚΥΡΑΣ ΚΕΡΚΥΡΑΣ,0.1 MDA installation,Δευτέρα,1
90.4,ΚΕΡΚΥΡΑΣ ΚΕΡΚΥΡΑΣ,0.1 MDA installation,Δευτέρα,1
90.5,ΚΕΡΚΥΡΑΣ ΚΕΡΚΥΡΑΣ,0.1 MDA installation,Δευτέρα,1
90.2,ΚΕΡΚΥΡΑΣ ΚΕΡΚΥΡΑΣ,0.1 MDA installation,Κυριακή,1
90.4,ΚΕΡΚΥΡΑΣ ΚΕΡΚΥΡΑΣ,0.1 MDA installation,Κυριακή,1
1.0,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,0.1 MDA installation,Παρασκευή,1
120.3,ΗΡΑΚΛΕΙΟ 4,0.1 MDA installation,Παρασκευή,1
120.5,ΗΡΑΚΛΕΙΟ 6,0.1 MDA installation,Παρασκευή,1
122.0,ΧΑΝΙΑ 1,0.1 MDA installation,Παρασκευή,1
122.2,ΧΑΝΙΑ 3,0.1 MDA installation,Παρασκευή,1
13.0,ΧΑΛΚΙΔΙΚΗ 1 ΠΟΔΙ,0.1 MDA installation,Παρασκευή,1
13.1,ΧΑΛΚΙΔΙΚΗ ΠΟΛΥΓΥΡΟΣ 2ΠΟΔΙ,0.1 MDA installation,Παρασκευή,1
13.2,ΧΑΛΚΙΔΙΚΗ 3 ΠΟΔΙ,0.1 MDA installation,Παρασκευή,1
14.0,ΓΙΑΝΝΙΤΣΑ   ΠΕΛΛΑ,0.1 MDA installation,Παρασκευή,1
15.0,ΒΕΡΟΙΑ,0.1 MDA installation,Παρασκευή,1
15.1,ΝΑΟΥΣΑ,0.1 MDA installation,Παρασκευή,1
150.1,ΣΑΛΑΜΙΝΑ,0.1 MDA installation,Παρασκευή,1
16.0,ΚΑΤΕΡΙΝΗ,0.1 MDA installation,Παρασκευή,1
