zone,Zone_name,postal_code
80.0,ΑΧΑΙΑΣ 1,25001
80.1,ΑΧΑΙΑΣ 2,25002
80.2,ΑΧΑΙΑΣ 3,25003
80.0,ΑΧΑΙΑΣ 1,25004
80.1,ΑΧΑΙΑΣ 2,25005
80.2,ΑΧΑΙΑΣ 3,25006
80.0,ΑΧΑΙΑΣ 1,25007
80.1,ΑΧΑΙΑΣ 2,25008
80.2,ΑΧΑΙΑΣ 3,25009
80.2,ΑΧΑΙΑΣ 3,25010
80.0,ΑΧΑΙΑΣ 1,25015
80.0,ΑΧΑΙΑΣ 1,25016
80.1,ΑΧΑΙΑΣ 2,25018
80.2,ΑΧΑΙΑΣ 3,25100
80.1,ΑΧΑΙΑΣ 2,25200
80.3,ΠΑΤΡΑΣ 1,26221
80.3,ΠΑΤΡΑΣ 1,26222
80.3,ΠΑΤΡΑΣ 1,26223
80.3,ΠΑΤΡΑΣ 1,26224
80.3,ΠΑΤΡΑΣ 1,26225
80.3,ΠΑΤΡΑΣ 1,26226
80.4,ΠΑΤΡΑΣ 2,26331
80.4,ΠΑΤΡΑΣ 2,26332
80.4,ΠΑΤΡΑΣ 2,26333
80.4,ΠΑΤΡΑΣ 2,26334
80.4,ΠΑΤΡΑΣ 2,26335
80.5,ΠΑΤΡΑΣ 3,26441
80.5,ΠΑΤΡΑΣ 3,26442
80.5,ΠΑΤΡΑΣ 3,26443
80.6,ΑΧΑΙΑΣ 4,26500
80.6,ΑΧΑΙΑΣ 4,26504
82.3,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ ΜΕΣΟΛΟΓΓΙΟΥ,30001
82.1,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ ΑΚΤΙΟΥ - ΒΟΝΙΤΣΑΣ,30002
82.0,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ ΑΓΡΙΝΙΟΥ,30003
82.1,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ ΑΚΤΙΟΥ - ΒΟΝΙΤΣΑΣ,30004
82.0,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ ΑΓΡΙΝΙΟΥ,30005
82.5,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ ΞΗΡΟΜΕΡΟΥ,30006
82.3,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,30007
82.0,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ ΑΓΡΙΝΙΟΥ,30008
82.5,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ ΞΗΡΟΜΕΡΟΥ,30009
82.0,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ ΑΓΡΙΝΙΟΥ,30010
82.0,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ ΑΓΡΙΝΙΟΥ,30011
82.1,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ ΑΚΤΙΟΥ - ΒΟΝΙΤΣΑΣ,30012
82.3,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ ΜΕΣΟΛΟΓΓΙΟΥ,30014
82.4,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ ΝΑΥΠΑΚΤΙΑΣ,30015
82.2,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ ΑΜΦΙΛΟΧΙΑΣ,30017
82.1,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ ΑΚΤΙΟΥ - ΒΟΝΙΤΣΑΣ,30019
82.4,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ ΝΑΥΠΑΚΤΙΑΣ,30020
82.0,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ ΑΓΡΙΝΙΟΥ,30021
82.0,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ ΑΓΡΙΝΙΟΥ,30027
82.0,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ ΑΓΡΙΝΙΟΥ,30100
82.0,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ ΑΓΡΙΝΙΟΥ,30131
82.0,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ ΑΓΡΙΝΙΟΥ,30132
82.0,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ ΑΓΡΙΝΙΟΥ,30133
82.3,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,30200
82.2,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ ΑΜΦΙΛΟΧΙΑΣ,30300
82.3,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ ΜΕΣΟΛΟΓΓΙΟΥ,30400
82.2,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ ΑΜΦΙΛΟΧΙΑΣ,30500
82.1,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ ΑΚΤΙΟΥ - ΒΟΝΙΤΣΑΣ,31100
43.0,ΒΟΛΟΣ,37001
43.0,ΒΟΛΟΣ,37006
